date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
1/04/2000,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.05007,-0.16722,-0.09864,1.09091
1/04/2000,AUS,AUD,Australia,2.59,1.68,1.541666667,-0.31176,-0.35246,-0.48645,-0.44416,0.28939
1/04/2000,BRA,BRL,Brazil,2.95,1.79,1.648044693,-0.26427,-0.30778,-0.45102,-0.40581,0.37836
1/04/2000,GBR,GBP,Britain,1.9,0.632911392,3.002000002,0.34018,0.26092,0,0.08235,1.51076
1/04/2000,CAN,CAD,Canada,2.85,1.47,1.93877551,-0.13448,-0.18566,-0.35417,-0.30099,0.62152
1/04/2000,CHL,CLP,Chile,1260,514,2.451361868,0.09436,0.02964,-0.18342,-0.11618,1.05023
1/04/2000,CHN,CNY,China,9.9,8.28,1.195652174,-0.46623,-0.49779,-0.60171,-0.56891,0
1/04/2000,CZE,CZK,Czech Republic,54.37,39.1,1.390537084,-0.37922,-0.41594,-0.5368,-0.49865,0.16299
1/04/2000,DNK,DKK,Denmark,24.75,8.04,3.078358209,0.37427,0.29299,0.02544,0.10988,1.57463
1/04/2000,EUZ,EUR,Euro area,2.56,1.075268817,2.3808,0.06286,0,-0.20693,-0.14162,0.99121
1/04/2000,HKG,HKD,Hong Kong,10.2,7.79,1.309370988,-0.41546,-0.45003,-0.56383,-0.52791,0.09511
1/04/2000,HUN,HUF,Hungary,339,279,1.215053763,-0.45757,-0.48964,-0.59525,-0.56192,0.01623
1/04/2000,IDN,IDR,Indonesia,14500,7945,1.825047199,-0.18525,-0.23343,-0.39206,-0.34199,0.5264
1/04/2000,ISR,ILS,Israel,14.5,4.05,3.580246914,0.59832,0.5038,0.19262,0.29084,1.99439
1/04/2000,JPN,JPY,Japan,294,106,2.773584906,0.23821,0.16498,-0.07609,0,1.31973
1/04/2000,MYS,MYR,Malaysia,4.52,3.8,1.189473684,-0.46898,-0.50039,-0.60377,-0.57114,-0.00517
1/04/2000,MEX,MXN,Mexico,20.9,9.41,2.221041445,-0.00846,-0.0671,-0.26015,-0.19922,0.8576
1/04/2000,NZL,NZD,New Zealand,3.4,2.01,1.691542289,-0.24485,-0.28951,-0.43653,-0.39012,0.41474
1/04/2000,POL,PLN,Poland,5.5,4.3,1.279069767,-0.42899,-0.46276,-0.57393,-0.53884,0.06977
1/04/2000,RUS,RUB,Russia,39.5,28.5,1.385964912,-0.38127,-0.41786,-0.53832,-0.5003,0.15917
1/04/2000,SGP,SGD,Singapore,3.2,1.7,1.882352941,-0.15966,-0.20936,-0.37297,-0.32133,0.57433
1/04/2000,ZAF,ZAR,South Africa,9,6.72,1.339285714,-0.4021,-0.43746,-0.55387,-0.51713,0.12013
1/04/2000,KOR,KRW,South Korea,3000,1108,2.707581227,0.20874,0.13726,-0.09807,-0.0238,1.26452
1/04/2000,SWE,SEK,Sweden,24,8.84,2.714932127,0.21202,0.14034,-0.09563,-0.02115,1.27067
1/04/2000,CHE,CHF,Switzerland,5.9,1.7,3.470588235,0.54937,0.45774,0.15609,0.2513,1.90267
1/04/2000,TWN,TWD,Taiwan,70,30.6,2.287581699,0.02124,-0.03915,-0.23798,-0.17523,0.91325
1/04/2000,THA,THB,Thailand,55,38,1.447368421,-0.35385,-0.39207,-0.51787,-0.47816,0.21053
1/04/2000,USA,USD,United States,2.24,1,2.24,0,-0.05914,-0.25383,-0.19238,0.87345
1/04/2001,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.10541,-0.12148,0.05442,1.09091
