date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
1/04/2000,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.05007,-0.16722,-0.09864,1.09091
1/04/2000,AUS,AUD,Australia,2.59,1.68,1.541666667,-0.31176,-0.35246,-0.48645,-0.44416,0.28939
1/04/2000,BRA,BRL,Brazil,2.95,1.79,1.648044693,-0.26427,-0.30778,-0.45102,-0.40581,0.37836
1/04/2000,GBR,GBP,Britain,1.9,0.632911392,3.002000002,0.34018,0.26092,0,0.08235,1.51076
1/04/2000,CAN,CAD,Canada,2.85,1.47,1.93877551,-0.13448,-0.18566,-0.35417,-0.30099,0.62152
,,,,,,,,,,,
1/04/2000,CHN,CNY,China,9.9,8.28,1.195652174,-0.46623,-0.49779,-0.60171,-0.56891,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/04/2000,IDN,IDR,Indonesia,14500,7945,1.825047199,-0.18525,-0.23343,-0.39206,-0.34199,0.5264
,,,,,,,,,,,
1/04/2000,JPN,JPY,Japan,294,106,2.773584906,0.23821,0.16498,-0.07609,0,1.31973
,,,,,,,,,,,
1/04/2000,MEX,MXN,Mexico,20.9,9.41,2.221041445,-0.00846,-0.0671,-0.26015,-0.19922,0.8576
,,,,,,,,,,,
,,,,,,,,,,,
1/04/2000,RUS,RUB,Russia,39.5,28.5,1.385964912,-0.38127,-0.41786,-0.53832,-0.5003,0.15917
,,,,,,,,,,,
1/04/2000,ZAF,ZAR,South Africa,9,6.72,1.339285714,-0.4021,-0.43746,-0.55387,-0.51713,0.12013
1/04/2000,KOR,KRW,South Korea,3000,1108,2.707581227,0.20874,0.13726,-0.09807,-0.0238,1.26452
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/04/2000,USA,USD,United States,2.24,1,2.24,0,-0.05914,-0.25383,-0.19238,0.87345
1/04/2001,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.10541,-0.12148,0.05442,1.09091
1/04/2001,AUS,AUD,Australia,3,1.98,1.515151515,-0.32359,-0.33005,-0.46756,-0.36096,0.26722
1/04/2001,BRA,BRL,Brazil,3.6,2.19,1.643835616,-0.26614,-0.27315,-0.42234,-0.30668,0.37484
1/04/2001,GBR,GBP,Britain,1.99,0.699300699,2.845700001,0.2704,0.25827,0,0.20023,1.38004
1/04/2001,CAN,CAD,Canada,3.33,1.56,2.134615385,-0.04705,-0.05615,-0.24988,-0.09969,0.78531
,,,,,,,,,,,
1/04/2001,CHN,CNY,China,9.9,8.28,1.195652174,-0.46623,-0.47132,-0.57984,-0.49571,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/04/2001,IDN,IDR,Indonesia,14700,10855,1.354214648,-0.39544,-0.40121,-0.52412,-0.42883,0.13262
1/04/2001,JPN,JPY,Japan,294,124,2.370967742,0.05847,0.04836,-0.16682,0,0.98299
,,,,,,,,,,,
1/04/2001,MEX,MXN,Mexico,21.9,9.29,2.35737352,0.0524,0.04235,-0.1716,-0.00573,0.97162
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/04/2001,RUS,RUB,Russia,35,28.9,1.211072664,-0.45934,-0.46451,-0.57442,-0.48921,0.0129
,,,,,,,,,,,
1/04/2001,ZAF,ZAR,South Africa,9.7,8.13,1.193111931,-0.46736,-0.47245,-0.58073,-0.49678,-0.00212
1/04/2001,KOR,KRW,South Korea,3000,1325,2.264150943,0.01078,0.00113,-0.20436,-0.04505,0.89365
